Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
0,7,2500000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-05-06T21:59:50,"Blow Torch, Bunsen Burner",2019-05-07T11:34:43,43.67687527,-79.33887214,Used or Placed too close to combustibles,"School - Technical, Industrial Trade",2019-05-06T16:57:50,2019-05-06T17:02:34
0,7,220000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-04-25T14:41:12,Undetermined,2015-04-25T19:28:34,43.76046,-79.50978,Undetermined,Multi-Unit Dwelling - Over 12 Units,2015-04-25T14:16:22,2015-04-25T14:20:18
15,6,1000000,50,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-02-05T15:45:00,Undetermined,2016-02-06T08:58:09,43.80654,-79.21865,Undetermined,Multi-Unit Dwelling - Over 12 Units,2016-02-05T15:03:38,2016-02-05T15:08:01
1,6,80000,7,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2015-05-17T00:33:56,Undetermined,2015-05-17T08:59:40,43.66512,-79.45416,Undetermined,Semi-Detached Dwelling,2015-05-17T00:19:56,2015-05-17T00:23:47
6,6,100000,30,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-04-01T16:06:04,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2015-04-01T17:49:55,43.64084,-79.43541,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2015-04-01T15:56:22,2015-04-01T15:58:48
5,6,50000,1,Undetermined,Fire alarm system operated,Fire alarm system present,2013-04-20T11:56:00,Undetermined,2013-04-20T16:04:58,43.6347,-79.49279,Undetermined,Multi-Unit Dwelling - Over 12 Units,2013-04-20T11:39:17,2013-04-20T11:43:38
0,5,0,150,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-01-28T12:54:12,Transformer,2013-01-28T14:17:35,43.68694,-79.39987,Electrical Failure,General Business Office,2013-01-28T11:04:23,2013-01-28T11:09:15
0,5,400000,6,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2015-10-03T09:45:54,Vehicle - Electrical,2015-10-03T16:45:25,43.67078,-79.42123,Electrical Failure,Detached Dwelling,2015-10-03T06:59:43,2015-10-03T07:04:24
0,5,250000,30,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-01-25T06:03:00,Undetermined,2013-01-25T15:15:34,43.68776,-79.27092,Undetermined,Multi-Unit Dwelling - Over 12 Units,2013-01-25T05:31:54,2013-01-25T05:37:52
6,5,50000,6,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2015-03-28T06:30:00,Undetermined,2015-03-28T14:21:04,43.76201,-79.19474,Undetermined,Multi-Unit Dwelling - Over 12 Units,2015-03-28T05:50:30,2015-03-28T05:55:39
0,4,40000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-01-07T12:57:54,Matches or Lighters (unable to distinguish),2015-01-07T16:20:46,43.63666,-79.4386,Children Playing (Ages 11 and under),Multi-Unit Dwelling - Over 12 Units,2015-01-07T12:43:39,2015-01-07T12:48:11
0,4,15600,3,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-01-13T01:34:58,Space Heater - Fixed,2011-01-13T02:30:38,43.73463,-79.55784,Improper Storage,Detached Dwelling,2011-01-13T01:28:21,2011-01-13T01:34:54
4,4,500,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Undetermined,2012-06-30T23:34:00,Other Open Flame Tools/Smokers' Articles,2012-07-01T00:38:13,43.68799,-79.32957,Improper handling of ignition source or ignited material,Detached Dwelling,2012-06-30T23:27:34,2012-06-30T23:32:57
0,4,10000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-03-26T02:58:38,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2017-03-26T03:55:00,43.66966,-79.37579,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2017-03-26T02:31:58,2017-03-26T02:36:19
0,4,5000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-07-19T09:36:57,"Stove, Range-top burner",2017-07-19T09:54:18,43.79172,-79.3402,"Other unintentional cause, not classified",Semi-Detached Dwelling,2017-07-19T09:25:22,2017-07-19T09:32:15
0,4,100000,7,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2015-11-18T07:00:00,Undetermined,2015-11-18T20:14:24,43.65101,-79.44,Undetermined,Detached Dwelling,2015-11-18T05:34:36,2015-11-18T05:38:33
4,4,100000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-03-07T03:41:30,Undetermined,2014-03-07T14:20:30,43.6697,-79.43276,Undetermined,Multi-Unit Dwelling - 2 to 6 Units,2014-03-07T03:09:22,2014-03-07T03:15:03
0,4,12000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2011-04-05T08:35:00,Space Heater - Portable,2011-04-05T12:50:45,43.69436,-79.45623,Used or Placed too close to combustibles,Multi-Unit Dwelling - 2 to 6 Units,2011-04-05T08:15:53,2011-04-05T08:22:05
2,4,150000,50,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-07-07T12:05:20,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-07-07T15:17:52,43.75065,-79.54908,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2011-07-07T11:48:20,2011-07-07T11:54:48
2,4,250000,10,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,No Fire alarm system,2013-10-08T08:03:36,"Stove, Range-top burner",2013-10-08T16:47:04,43.65025,-79.43008,Undetermined,Rooming/Boarding/Lodging House,2013-10-08T07:46:57,2013-10-08T07:51:16
0,4,20000,8,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-06-07T08:50:10,"Stove, Range-top burner",2016-06-07T10:49:24,43.7331,-79.60583,"Other unintentional cause, not classified",Bank,2016-06-07T08:37:12,2016-06-07T08:42:02
4,4,3000,3,Undetermined,Fire alarm system did not operate,Fire alarm system present,2012-08-14T16:22:46,"Stove, Range-top burner",2012-08-14T17:05:33,43.72587,-79.48548,Unattended,Multi-Unit Dwelling - Over 12 Units,2012-08-14T16:16:16,2012-08-14T16:20:56
0,3,0,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-05-04T18:40:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-05-04T19:28:53,43.76057348,-79.2156827,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-05-04T18:29:21,2018-05-04T18:31:03
0,3,200000,9,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-06-26T19:35:00,Undetermined,2012-06-27T01:31:32,43.69324,-79.28724,Undetermined,Multi-Unit Dwelling - Over 12 Units,2012-06-26T18:43:41,2012-06-26T18:48:06
3,3,100000,10,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-04-20T00:03:00,Candle,2015-04-20T06:22:52,43.74915,-79.51568,Unattended,Multi-Unit Dwelling - Over 12 Units,2015-04-19T23:39:41,2015-04-19T23:43:34
5,3,300000,7,Undetermined,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2012-11-06T01:35:03,Undetermined,2012-11-06T14:21:14,43.75523,-79.28434,Undetermined,Detached Dwelling,2012-11-06T01:05:27,2012-11-06T01:12:22
0,3,1500000,997,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-07-13T08:08:00,Undetermined,2013-07-20T10:49:25,43.66549,-79.35262,Undetermined,"Apartment, Flat, Tenement with Business",2013-07-13T04:59:24,2013-07-13T05:03:42
3,3,100000,3,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-12-04T21:53:55,Undetermined,2017-12-05T08:36:54,43.71949,-79.44391,Undetermined,Multi-Unit Dwelling - Over 12 Units,2017-12-04T21:36:47,2017-12-04T21:41:47
0,3,5000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-08-03T04:15:02,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2011-08-03T05:43:15,43.69755,-79.25679,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2011-08-03T03:48:58,2011-08-03T03:54:47
0,3,50000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2013-11-18T10:44:00,Service/Utility Lines (includes power/hydro transmission lines),2013-11-18T11:35:55,43.76029,-79.3537,Design/Construction/Installation/Maintenance Deficiency,Restaurant (occupant load less than 30 persons),2013-11-18T10:38:52,2013-11-18T10:43:33
0,3,1500,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-09-27T19:26:30,Undetermined,2016-09-27T21:05:23,43.6788,-79.48291,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2016-09-27T19:17:45,2016-09-27T19:21:48
0,3,35000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2012-07-19T06:33:00,"Stove, Range-top burner",2012-07-19T07:19:33,43.76233,-79.45922,Unattended,Multi-Unit Dwelling - 2 to 6 Units,2012-07-19T06:21:36,2012-07-19T06:27:50
0,3,50000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2017-02-10T00:39:12,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2017-02-10T01:48:32,43.59958,-79.52704,Mechanical Failure,Detached Dwelling,2017-02-10T00:26:35,2017-02-10T00:32:28
0,3,3500,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-10-08T01:34:16,"Stove, Range-top burner",2012-10-08T02:37:43,43.70914,-79.27612,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2012-10-08T01:21:47,2012-10-08T01:27:18
3,3,100000,5,Some persons (at risk) evacuated as a result of hearing fire alarm system,Not applicable (no system),No Fire alarm system,2014-03-07T21:33:00,Other Electrical,2014-03-08T09:53:52,43.69681,-79.50889,Electrical Failure,Detached Dwelling,2014-03-07T21:24:29,2014-03-07T21:31:23
4,3,450000,9,Undetermined,Fire alarm system operated,Fire alarm system present,2016-01-26T11:43:54,Undetermined,2016-01-26T15:34:45,43.63944,-79.4425,Undetermined,Semi-Detached Dwelling,2016-01-26T11:28:23,2016-01-26T11:32:54
3,3,150000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2012-01-31T01:50:15,Circuit Wiring - Copper,2012-01-31T03:54:12,43.7839,-79.35288,Electrical Failure,Detached Dwelling,2012-01-31T01:37:55,2012-01-31T01:44:09
3,3,50000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-05-29T11:34:46,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2013-05-29T12:47:47,43.66242,-79.35869,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2013-05-29T11:00:48,2013-05-29T11:04:34
0,3,80000,5,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-02-24T14:51:10,Space Heater - Portable,2015-02-24T17:03:17,43.77713,-79.3479,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2015-02-24T14:37:53,2015-02-24T14:41:32
1,3,45000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-04-15T02:23:31,"Stove, Range-top burner",2012-04-15T03:21:43,43.68762,-79.42366,Unattended,Multi-Unit Dwelling - Over 12 Units,2012-04-15T01:56:28,2012-04-15T02:01:41
0,3,100000,25,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-09-06T02:30:00,Air Conditioner - Window or Room Unit,2017-09-06T13:10:06,43.73028,-79.43824,Mechanical Failure,Multi-Unit Dwelling - 7 to 12 Units,2017-09-06T02:08:27,2017-09-06T02:14:13
1,3,1000,1,Fire Alarm system operated but failed to alert occupant(s),Fire alarm system operated,Fire alarm system present,2017-12-23T13:37:00,"Stove, Range-top burner",2017-12-23T14:47:33,43.65316,-79.40435,Unattended,Multi-Unit Dwelling - Over 12 Units,2017-12-23T13:26:03,2017-12-23T13:31:29
2,2,200,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2019-06-18T22:15:58,"Lamp (eg. coal, oil, naphtha, etc.)",2019-06-19T03:20:27,43.67576884,-79.44497474,Used or Placed too close to combustibles,Semi-Detached Dwelling,2019-06-18T22:10:31,2019-06-18T22:15:42
0,2,20000,100,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-06-28T00:04:54,Candle,2019-06-28T02:19:02,43.65782988,-79.4639404,Unattended,Multi-Unit Dwelling - Over 12 Units,2019-06-27T23:44:15,2019-06-27T23:48:55
1,2,10000,7,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-02-14T18:25:13,Undetermined,2019-02-15T00:11:57,43.63774331,-79.4332834,Under Investigation,Rooming/Boarding/Lodging House,2019-02-14T18:15:44,2019-02-14T18:20:23
1,2,70000,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-01-09T01:40:00,Undetermined,2019-01-09T06:24:00,43.80158216,-79.40072235,Electrical Failure,Detached Dwelling,2019-01-09T01:29:03,2019-01-09T01:34:33
2,2,40000,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-05-12T17:19:14,Undetermined,2018-05-12T22:03:29,43.77356847,-79.34459209,"Unintentional, cause undetermined",Detached Dwelling,2018-05-12T16:59:39,2018-05-12T17:04:05
2,2,25000,6,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-02-22T02:48:43,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-02-22T15:54:11,43.72622153,-79.55167348,Used or Placed too close to combustibles,Detached/Semi/Attached with Accessory Apartment Below Grade,2018-02-22T02:32:58,2018-02-22T02:39:25
1,2,55000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-03-02T14:58:05,Undetermined,2018-03-02T16:17:37,43.69448493,-79.31927288,Improper handling of ignition source or ignited material,Detached Dwelling,2018-03-02T14:09:51,2018-03-02T14:12:52
2,2,100,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2016-12-19T13:02:08,Microwave,2016-12-19T13:42:41,43.70164,-79.33715,Undetermined,Multi-Unit Dwelling - Over 12 Units,2016-12-19T12:50:49,2016-12-19T12:57:19
0,2,300,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-01-31T13:24:00,Undetermined,2017-01-31T14:02:58,43.65878,-79.44075,Undetermined,"Apartment, Flat, Tenement with Business",2017-01-31T13:16:29,2017-01-31T13:21:17
2,2,2000,2,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-10-07T07:51:34,Lighters (open flame),2014-10-07T08:05:13,43.67136,-79.37232,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2014-10-07T07:07:03,2014-10-07T07:10:18
2,2,500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-10-09T03:35:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2013-10-09T05:01:50,43.76221,-79.18226,"Other unintentional cause, not classified",Detached Dwelling,2013-10-09T03:22:36,2013-10-09T03:26:51
0,2,10000,2,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-12-06T16:13:20,Fireplace Insert,2013-12-06T18:44:53,43.62075,-79.50154,Used for purpose not intended,Detached Dwelling,2013-12-06T16:01:11,2013-12-06T16:07:06
1,2,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2016-09-17T12:44:00,"Stove, Range-top burner",2016-09-17T13:08:09,43.66716,-79.31692,Unattended,Detached Dwelling,2016-09-17T12:40:18,2016-09-17T12:44:00
0,2,55000,3,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2013-12-23T05:40:00,Candle,2013-12-23T07:27:24,43.78164,-79.416,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2013-12-23T05:14:03,2013-12-23T05:21:12
0,2,1000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-11-10T17:14:00,Oven,2016-11-10T17:51:17,43.6693,-79.42872,"Other unintentional cause, not classified",Semi-Detached Dwelling,2016-11-10T17:08:20,2016-11-10T17:11:07
0,2,150000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2014-08-30T21:47:17,Undetermined,2014-08-31T01:40:17,43.64735,-79.43728,Undetermined,Multi-Unit Dwelling - Over 12 Units,2014-08-30T21:24:19,2014-08-30T21:27:35
1,2,150000,997,Undetermined,Fire alarm system operation undetermined,Undetermined,2012-11-12T07:11:12,Undetermined,2012-11-12T19:56:28,43.64854,-79.39741,Electrical Failure,"Apartment, Flat, Tenement with Business",2012-11-12T06:24:17,2012-11-12T06:28:10
2,2,400000,997,Undetermined,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-11-02T04:08:55,Undetermined,2014-11-02T11:52:53,43.68757,-79.56999,"Unintentional, cause undetermined",Semi-Detached Dwelling,2014-11-02T03:20:04,2014-11-02T03:25:15
2,2,100000,997,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2011-02-27T00:00:00,Undetermined,2011-02-27T04:45:58,43.70422,-79.51939,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2011-02-26T23:38:49,2011-02-26T23:44:19
2,2,200000,19,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Undetermined,2011-04-21T22:41:53,Undetermined,2011-04-22T01:44:54,43.64935,-79.3937,Undetermined,"Hotel, Motel, Lodging - 4 or more guests or suites",2011-04-21T21:26:49,2011-04-21T21:29:37
2,2,200000,3,Undetermined,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2011-08-12T03:56:39,Undetermined,2011-08-12T16:57:01,43.68266,-79.3196,Undetermined,Semi-Detached Dwelling,2011-08-12T03:21:59,2011-08-12T03:27:52
0,2,30000,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-05-23T17:26:43,"Stove, Range-top burner",2012-05-23T18:38:59,43.76005,-79.39538,Unattended,Multi-Unit Dwelling - Over 12 Units,2012-05-23T17:14:23,2012-05-23T17:20:04
1,2,10000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-03-21T02:18:00,"Stove, Range-top burner",2017-03-21T02:40:28,43.77253,-79.25464,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2017-03-21T02:06:38,2017-03-21T02:11:35
2,2,50000,10,Undetermined,Fire alarm system operated,Fire alarm system present,2015-09-23T06:49:49,"Stove, Range-top burner",2015-09-23T08:41:36,43.70439,-79.29642,Unattended,Multi-Unit Dwelling - Over 12 Units,2015-09-23T06:32:14,2015-09-23T06:39:08
1,2,50000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-05-07T04:23:09,Undetermined,2012-05-07T05:52:29,43.66337,-79.37227,Undetermined,Multi-Unit Dwelling - Over 12 Units,2012-05-07T04:07:00,2012-05-07T04:12:06
4,2,15000,0,Undetermined,Not applicable (no system),Undetermined,2017-04-17T00:00:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2017-04-17T04:01:26,43.76321,-79.19852,Undetermined,Bank,2017-04-16T21:20:39,2017-04-16T21:25:08
2,2,25000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-07-16T16:00:20,Undetermined,2017-07-16T18:45:36,43.7415,-79.2361,Undetermined,Multi-Unit Dwelling - Over 12 Units,2017-07-16T15:39:20,2017-07-16T15:45:35
0,2,2500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-02-02T12:59:33,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2017-02-02T16:22:50,43.71898,-79.56898,Improperly Discarded,Detached Dwelling,2017-02-02T12:47:30,2017-02-02T12:50:36
1,2,100000,8,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-11-03T08:13:07,Candle,2013-11-03T17:31:25,43.67041,-79.45954,Used or Placed too close to combustibles,Rooming/Boarding/Lodging House,2013-11-03T07:48:27,2013-11-03T07:53:02
2,2,1,20,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-12-21T12:39:05,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2012-12-21T13:49:47,43.72236,-79.50898,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2012-12-21T12:20:19,2012-12-21T12:23:04
0,2,50000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2012-12-30T02:30:19,Space Heater - Portable,2012-12-30T04:23:20,43.76851,-79.16302,Used or Placed too close to combustibles,Detached Dwelling,2012-12-30T01:21:49,2012-12-30T01:27:56
2,2,75000,2,Undetermined,Not applicable (no system),No Fire alarm system,2017-06-21T04:55:00,Undetermined,2017-06-21T14:28:38,43.76177,-79.23987,Undetermined,Detached Dwelling,2017-06-21T02:51:57,2017-06-21T03:00:23
4,2,400000,4,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2015-12-29T06:55:55,"Exposure, source structure semi-detached or attached",2015-12-30T09:49:22,43.76018,-79.26238,Undetermined,Semi-Detached Dwelling,2015-12-29T06:24:38,2015-12-29T06:30:41
1,2,10000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-12-10T14:50:40,Oven,2014-12-10T15:15:26,43.69425,-79.55865,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2014-12-10T14:31:43,2014-12-10T14:36:56
4,2,100000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-02-25T19:50:06,Other,2014-02-26T17:33:32,43.76405,-79.20563,Undetermined,Multi-Unit Dwelling - Over 12 Units,2014-02-25T19:34:27,2014-02-25T19:39:18
